DATE,AC_POWER
2020-05-15,550830.959402493
2020-05-16,568359.821427751
2020-05-17,660975.38928503
2020-05-18,470969.708928819
2020-05-19,532250.491070415
2020-05-20,525084.567381412
2020-05-21,662742.44940459
2020-05-22,627830.107974623
2020-05-23,745884.287973909
2020-05-24,699817.8107138519
2020-05-25,771576.161311865
2020-05-26,689483.769640826
2020-05-27,585707.85571532
2020-05-28,733119.455711131
2020-05-29,713110.62762379
2020-05-30,636043.194639892
2020-05-31,525939.175002069
2020-06-01,509691.499996352
2020-06-02,648667.570833055
2020-06-03,658508.402385439
2020-06-04,715775.188695238
2020-06-05,674574.155956887
2020-06-06,560332.525003117
2020-06-07,672139.494642089
2020-06-08,730087.464753887
2020-06-09,707237.483923641
2020-06-10,565937.491073472
2020-06-11,494174.862500689
2020-06-12,511289.694645006
2020-06-13,742032.653568625
2020-06-14,621509.294643216
2020-06-15,592483.864288816
2020-06-16,545506.678770242
2020-06-17,520383.536430166
